epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2496,2.30533,3.14479,2.22897,0.12289,0.62975,0.5932,0.61009,0.25736,1.88615,2.21014,1.99532,0.08268,0.000657143,0.000657143,0.000657143
2,33.3205,1.74756,1.52092,1.78912,0.08738,0.76723,0.71701,0.76955,0.34944,1.68192,1.22626,1.70697,0.07053,0.0013107,0.0013107,0.0013107
3,49.9477,1.5991,1.27114,1.54788,0.0865,0.77509,0.71429,0.77688,0.37571,1.63638,1.16917,1.57135,0.06446,0.00195106,0.00195106,0.00195106
4,66.66,1.55919,1.16619,1.50611,0.0767,0.83283,0.77823,0.84065,0.37697,1.59584,1.07178,1.48799,0.05748,0.0019406,0.0019406,0.0019406
5,83.8041,1.50535,1.07944,1.41278,0.07811,0.82869,0.79638,0.87435,0.46706,1.53326,0.97847,1.33345,0.05961,0.0019208,0.0019208,0.0019208
6,100.524,1.4578,1.01837,1.31366,0.07423,0.84653,0.80298,0.88304,0.45326,1.48764,0.99882,1.30825,0.05254,0.001901,0.001901,0.001901
7,117.463,1.42765,0.99186,1.29888,0.07244,0.86072,0.81224,0.8954,0.45281,1.48008,0.91987,1.30922,0.04739,0.0018812,0.0018812,0.0018812
8,134.255,1.41978,0.97561,1.28356,0.06791,0.84019,0.83692,0.88808,0.42902,1.48192,0.9346,1.32601,0.04819,0.0018614,0.0018614,0.0018614
9,150.948,1.4188,0.9816,1.28641,0.06893,0.90456,0.85104,0.92924,0.50915,1.39346,0.85609,1.23316,0.04387,0.0018416,0.0018416,0.0018416
10,167.983,1.39505,0.93571,1.24849,0.06524,0.90716,0.84762,0.92915,0.52361,1.36999,0.8505,1.21172,0.04672,0.0018218,0.0018218,0.0018218
11,185.085,1.3539,0.90512,1.21785,0.06051,0.88439,0.84305,0.92435,0.52876,1.36208,0.84273,1.18706,0.04595,0.001802,0.001802,0.001802
12,202.371,1.36866,0.91746,1.19953,0.06656,0.86659,0.84218,0.90351,0.48435,1.38047,0.90859,1.19963,0.04809,0.0017822,0.0017822,0.0017822
13,219.217,1.35686,0.88525,1.17881,0.06669,0.89877,0.83349,0.91468,0.49341,1.36586,0.84967,1.2026,0.04523,0.0017624,0.0017624,0.0017624
14,236.383,1.35846,0.8821,1.1827,0.06639,0.90705,0.88163,0.94385,0.54026,1.33553,0.81694,1.17918,0.04279,0.0017426,0.0017426,0.0017426
15,253.567,1.31852,0.84694,1.17497,0.05767,0.8519,0.89116,0.92442,0.502,1.34779,0.80617,1.1822,0.04044,0.0017228,0.0017228,0.0017228
16,270.087,1.31959,0.84275,1.16041,0.05631,0.91059,0.84528,0.92914,0.52677,1.32398,0.80854,1.17448,0.04087,0.001703,0.001703,0.001703
17,287.545,1.32107,0.8428,1.15932,0.05735,0.87816,0.91156,0.91632,0.51096,1.31846,0.8121,1.16552,0.03907,0.0016832,0.0016832,0.0016832
18,305.137,1.30093,0.82233,1.16426,0.05181,0.85454,0.91565,0.92938,0.51721,1.34639,0.79018,1.18579,0.04013,0.0016634,0.0016634,0.0016634
19,321.888,1.31374,0.81448,1.16825,0.05429,0.87987,0.90683,0.94449,0.54602,1.28484,0.77314,1.15472,0.03694,0.0016436,0.0016436,0.0016436
20,339.64,1.28121,0.80512,1.14489,0.05328,0.91776,0.89578,0.9447,0.51797,1.33843,0.76156,1.18194,0.03998,0.0016238,0.0016238,0.0016238
21,356.592,1.29582,0.80728,1.16729,0.05349,0.91248,0.89364,0.95454,0.56288,1.29688,0.7521,1.16123,0.04036,0.001604,0.001604,0.001604
22,373.994,1.26622,0.79521,1.13802,0.05273,0.92389,0.89183,0.95227,0.53769,1.30119,0.76901,1.15656,0.03915,0.0015842,0.0015842,0.0015842
23,391.308,1.30172,0.80645,1.15886,0.05262,0.8997,0.89796,0.95058,0.53567,1.30357,0.78734,1.15379,0.03915,0.0015644,0.0015644,0.0015644
24,408.442,1.2771,0.8002,1.15993,0.05333,0.8973,0.91837,0.95656,0.52848,1.29611,0.74534,1.14448,0.03745,0.0015446,0.0015446,0.0015446
25,425.563,1.27708,0.79301,1.13836,0.0513,0.9129,0.91429,0.94748,0.52172,1.30412,0.74637,1.14805,0.03626,0.0015248,0.0015248,0.0015248
26,442.656,1.25607,0.7753,1.14661,0.04971,0.89882,0.90647,0.93743,0.51442,1.31278,0.75087,1.15331,0.03652,0.001505,0.001505,0.001505
27,459.752,1.255,0.77649,1.13768,0.04856,0.91611,0.8966,0.95538,0.55405,1.27913,0.72761,1.14673,0.03642,0.0014852,0.0014852,0.0014852
28,476.922,1.26609,0.7693,1.14122,0.05145,0.91449,0.90215,0.94839,0.56204,1.27023,0.73952,1.14831,0.03404,0.0014654,0.0014654,0.0014654
29,494.165,1.26795,0.77145,1.13768,0.04965,0.91367,0.91837,0.95988,0.56094,1.27956,0.72532,1.14432,0.03523,0.0014456,0.0014456,0.0014456
30,511.418,1.25391,0.75674,1.13925,0.04354,0.91485,0.90884,0.94865,0.54432,1.28671,0.73133,1.14623,0.03691,0.0014258,0.0014258,0.0014258
31,528.401,1.24551,0.76259,1.14156,0.04757,0.93068,0.88299,0.9549,0.55567,1.32459,0.74882,1.16312,0.04257,0.001406,0.001406,0.001406
32,545.597,1.23291,0.75928,1.12606,0.05007,0.92946,0.88299,0.9535,0.54059,1.29658,0.73332,1.15416,0.03797,0.0013862,0.0013862,0.0013862
33,563.107,1.25415,0.78185,1.13156,0.04921,0.9128,0.91973,0.95528,0.55514,1.27782,0.73608,1.14715,0.03619,0.0013664,0.0013664,0.0013664
34,580.743,1.2257,0.75764,1.12418,0.04624,0.93338,0.89598,0.95759,0.55638,1.25878,0.73182,1.11882,0.03555,0.0013466,0.0013466,0.0013466
35,598.069,1.23082,0.75863,1.11849,0.04701,0.9266,0.91031,0.95069,0.54182,1.27183,0.71273,1.13048,0.0338,0.0013268,0.0013268,0.0013268
36,615.29,1.22192,0.74065,1.11723,0.04466,0.91588,0.90356,0.9589,0.54757,1.26878,0.70088,1.1338,0.03339,0.001307,0.001307,0.001307
37,632.433,1.21858,0.73699,1.11548,0.04546,0.90213,0.92653,0.96768,0.57861,1.27411,0.6986,1.14697,0.03348,0.0012872,0.0012872,0.0012872
38,649.873,1.22918,0.74398,1.12651,0.04478,0.92824,0.89759,0.96256,0.5636,1.27614,0.70726,1.15068,0.03326,0.0012674,0.0012674,0.0012674
39,667.015,1.23144,0.75425,1.10542,0.04699,0.92601,0.88543,0.95187,0.5449,1.30045,0.73021,1.15341,0.03728,0.0012476,0.0012476,0.0012476
