epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0479,2.06454,4.11916,0.00602,0.4649,0.11436,0.22544,0.08391,1.65077,3.86345,0.0053,0.000657277,0.000657277,0.000657277
2,39.9982,1.84658,2.99378,0.00499,0.45175,0.41357,0.40963,0.1813,1.76484,2.69504,0.00597,0.00131084,0.00131084,0.00131084
3,60.2264,1.86015,2.4861,0.00511,0.49319,0.47141,0.48956,0.21105,1.80104,2.05276,0.00618,0.0019512,0.0019512,0.0019512
4,79.0434,1.80186,2.15618,0.00494,0.56429,0.60229,0.61143,0.2999,1.68829,1.6522,0.00549,0.0019406,0.0019406,0.0019406
5,98.4416,1.7845,1.90952,0.00504,0.6011,0.62897,0.64131,0.3137,1.69557,1.53391,0.00554,0.0019208,0.0019208,0.0019208
6,117.826,1.76182,1.75194,0.00496,0.62087,0.63914,0.68107,0.32934,1.73641,1.34739,0.00549,0.001901,0.001901,0.001901
7,136.733,1.78811,1.61448,0.00495,0.61012,0.62643,0.65661,0.32269,1.69826,1.3313,0.00551,0.0018812,0.0018812,0.0018812
8,155.52,1.79613,1.55164,0.00487,0.71736,0.69661,0.76602,0.3848,1.66363,1.17342,0.00532,0.0018614,0.0018614,0.0018614
9,174.788,1.75942,1.47679,0.00466,0.72526,0.68091,0.74165,0.36143,1.72141,1.2221,0.0055,0.0018416,0.0018416,0.0018416
10,195.008,1.81529,1.42513,0.00481,0.73313,0.70394,0.76585,0.38899,1.65486,1.15585,0.0053,0.0018218,0.0018218,0.0018218
11,215.881,1.77424,1.36047,0.00486,0.71045,0.74587,0.78865,0.40379,1.65617,1.08268,0.00532,0.001802,0.001802,0.001802
12,236.376,1.77943,1.27558,0.00465,0.7691,0.69123,0.78338,0.39519,1.68022,1.11447,0.00528,0.0017822,0.0017822,0.0017822
13,256.194,1.75419,1.24782,0.00452,0.77245,0.72808,0.81223,0.43266,1.63863,0.984,0.00519,0.0017624,0.0017624,0.0017624
14,276.811,1.71708,1.17912,0.00469,0.76596,0.74853,0.81921,0.42914,1.60768,1.02607,0.00494,0.0017426,0.0017426,0.0017426
15,295.719,1.74346,1.21146,0.00469,0.7739,0.75476,0.82701,0.44605,1.59538,1.0011,0.00504,0.0017228,0.0017228,0.0017228
16,314.782,1.72533,1.19206,0.00463,0.78443,0.73519,0.81671,0.42963,1.60122,1.06828,0.00506,0.001703,0.001703,0.001703
17,333.959,1.73643,1.13697,0.00461,0.80383,0.75498,0.84056,0.43565,1.65443,0.99704,0.00515,0.0016832,0.0016832,0.0016832
18,353.381,1.72767,1.11942,0.00464,0.77503,0.78526,0.83294,0.43631,1.63374,0.99083,0.00514,0.0016634,0.0016634,0.0016634
19,372.254,1.71948,1.12814,0.00467,0.81839,0.77872,0.8536,0.45032,1.62107,0.87644,0.00502,0.0016436,0.0016436,0.0016436
20,391.801,1.70954,1.08342,0.00462,0.79732,0.76479,0.85615,0.43424,1.70498,0.91133,0.00575,0.0016238,0.0016238,0.0016238
