epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.7533,3.39466,5.0112,1.78749,0,0,0,0,nan,nan,nan,0.00325581,0.00325581,0.0706977
2,155.428,3.13731,2.80665,1.67103,0,0,0,0,nan,nan,nan,0.00652391,0.00652391,0.0406324
3,248.564,2.9721,2.6076,1.57406,0,0,0,0,nan,nan,nan,0.00972602,0.00972602,0.0105012
4,354.392,2.94619,2.58294,1.5647,0.02404,0.01437,0.00763,0.00299,nan,nan,nan,0.009703,0.009703,0.009703
5,443.984,2.82907,2.47287,1.52806,0.18836,0.22998,0.09654,0.02366,nan,nan,nan,0.009604,0.009604,0.009604
6,538.582,2.83245,2.45584,1.50704,0.15768,0.14168,0.06022,0.01686,3.05069,5.89032,1.65564,0.009505,0.009505,0.009505
7,618.417,2.73433,2.33399,1.43032,0.15544,0.13347,0.04815,0.01385,nan,nan,nan,0.009406,0.009406,0.009406
8,734.134,2.66987,2.3169,1.44791,0.14341,0.05955,0.01881,0.00599,nan,nan,nan,0.009307,0.009307,0.009307
9,827.895,2.69237,2.27615,1.45435,0.34591,0.33265,0.28961,0.07899,2.5536,2.07159,1.36915,0.009208,0.009208,0.009208
10,933.913,2.63273,2.22057,1.41663,0.13581,0.12526,0.06263,0.01856,3.02486,2.85768,1.59432,0.009109,0.009109,0.009109
11,1035.01,2.61427,2.18069,1.43505,0.35688,0.31828,0.2663,0.07227,nan,nan,nan,0.00901,0.00901,0.00901
12,1136.03,2.6032,2.16258,1.43478,0.35589,0.33242,0.27549,0.08025,2.55967,2.8834,1.36927,0.008911,0.008911,0.008911
13,1231.35,2.55899,2.06475,1.38625,0.28977,0.23819,0.17885,0.04402,2.9082,2.8083,1.57684,0.008812,0.008812,0.008812
14,1322.12,2.56188,2.08118,1.42348,0.39155,0.37782,0.30947,0.09593,2.57821,2.20799,1.42583,0.008713,0.008713,0.008713
15,1408.99,2.52755,2.02321,1.41014,0.40626,0.41273,0.35023,0.10637,2.52638,1.9436,1.42528,0.008614,0.008614,0.008614
16,1527.41,2.49527,2.00477,1.37177,0.44462,0.43326,0.39382,0.1208,2.50113,1.97113,1.38759,0.008515,0.008515,0.008515
17,1636.2,2.52739,1.99627,1.38506,0.49011,0.47568,0.45013,0.12934,2.57001,2.08633,1.43953,0.008416,0.008416,0.008416
18,1729.89,2.49093,1.92299,1.3509,0.35746,0.23614,0.18115,0.0516,2.95701,2.30481,1.61232,0.008317,0.008317,0.008317
19,1834.79,2.44629,1.88962,1.3309,0.40692,0.3963,0.31934,0.09927,2.72912,2.46285,1.50469,0.008218,0.008218,0.008218
20,1932.42,2.43139,1.85103,1.32963,0.42486,0.29158,0.27048,0.07117,3.0485,2.15153,1.67923,0.008119,0.008119,0.008119
21,2046.14,2.44367,1.89278,1.32792,0.54792,0.44148,0.46729,0.13504,2.62578,1.70003,1.4177,0.00802,0.00802,0.00802
22,2135.66,2.37862,1.81057,1.33321,0.41072,0.21766,0.21415,0.07172,2.84332,2.36322,1.58856,0.007921,0.007921,0.007921
23,2226.15,2.397,1.86657,1.32252,0.42498,0.3347,0.30507,0.08345,2.82794,1.87927,1.52291,0.007822,0.007822,0.007822
24,2365.3,2.38709,1.77978,1.30943,0.45568,0.44148,0.40351,0.12405,2.60497,2.07206,1.40007,0.007723,0.007723,0.007723
25,2457.11,2.34511,1.76482,1.30452,0.5502,0.53799,0.4775,0.14476,2.56816,1.75463,1.3937,0.007624,0.007624,0.007624
26,2562.7,2.3326,1.7374,1.29499,0.57546,0.55031,0.53056,0.15872,2.47245,1.67211,1.34069,0.007525,0.007525,0.007525
27,2687.78,2.32219,1.73572,1.28693,0.48871,0.43376,0.42978,0.1359,2.53101,1.91,1.39676,0.007426,0.007426,0.007426
28,2811.61,2.30568,1.67261,1.29313,0.59333,0.52156,0.50543,0.16082,2.48358,1.66417,1.35054,0.007327,0.007327,0.007327
29,2879.63,2.33685,1.7017,1.26737,0.54256,0.49487,0.46244,0.13694,2.67104,1.89719,1.4538,0.007228,0.007228,0.007228
30,2985.68,2.36221,1.73859,1.30196,0.54208,0.39425,0.38477,0.10851,2.94985,2.2219,1.66842,0.007129,0.007129,0.007129
31,3066.69,2.30783,1.69536,1.28849,0.62003,0.54825,0.57924,0.20524,2.33564,1.61593,1.33922,0.00703,0.00703,0.00703
32,3142.17,2.32564,1.68432,1.30298,0.66654,0.56468,0.60186,0.21195,2.30712,1.6049,1.29784,0.006931,0.006931,0.006931
33,3235.24,2.23802,1.56448,1.26159,0.60369,0.59343,0.55652,0.18534,2.42369,1.87787,1.33071,0.006832,0.006832,0.006832
34,3323.39,2.26137,1.55154,1.25385,0.70218,0.49382,0.5631,0.19224,2.34598,1.66445,1.31956,0.006733,0.006733,0.006733
35,3414.11,2.27264,1.58977,1.26796,0.61787,0.50308,0.56639,0.2019,2.33959,1.58103,1.3068,0.006634,0.006634,0.006634
36,3475.24,2.24237,1.58052,1.24814,0.72909,0.65298,0.7021,0.25222,2.26554,1.41502,1.26315,0.006535,0.006535,0.006535
37,3561.66,2.24533,1.54166,1.22911,0.78203,0.577,0.67993,0.25322,2.15183,1.36451,1.23047,0.006436,0.006436,0.006436
38,3667.55,2.20872,1.56362,1.24862,0.69525,0.6386,0.69043,0.24645,2.20802,1.39353,1.26197,0.006337,0.006337,0.006337
39,3754.88,2.17763,1.53521,1.249,0.73207,0.64271,0.68995,0.24611,2.25483,1.44822,1.27185,0.006238,0.006238,0.006238
40,3857.17,2.2118,1.52899,1.22671,0.70979,0.63655,0.67744,0.242,2.19085,1.4769,1.24129,0.006139,0.006139,0.006139
41,3952.35,2.19003,1.52435,1.23785,0.67913,0.65914,0.67128,0.22841,2.21703,1.7691,1.26224,0.00604,0.00604,0.00604
42,4044.75,2.12155,1.50179,1.21865,0.68151,0.65029,0.67779,0.2276,2.26819,1.37776,1.27694,0.005941,0.005941,0.005941
43,4151.36,2.15557,1.49164,1.23054,0.67584,0.58111,0.60129,0.19962,2.34212,1.50383,1.30258,0.005842,0.005842,0.005842
44,4260.77,2.1748,1.47253,1.22999,0.71377,0.6694,0.71365,0.26804,2.11412,1.31521,1.23806,0.005743,0.005743,0.005743
45,4393.24,2.19872,1.501,1.22259,0.66513,0.64476,0.6637,0.24612,2.27019,1.48375,1.29558,0.005644,0.005644,0.005644
46,4476.47,2.14184,1.44376,1.211,0.77619,0.72074,0.74636,0.274,2.22143,1.29165,1.26001,0.005545,0.005545,0.005545
47,4565.81,2.16336,1.4168,1.21629,0.68369,0.64887,0.64845,0.22927,2.34465,1.57985,1.30793,0.005446,0.005446,0.005446
48,4684.14,2.11378,1.38487,1.22043,0.73184,0.64271,0.67857,0.22006,2.44876,1.4604,1.33035,0.005347,0.005347,0.005347
49,4777.02,2.12893,1.41237,1.19824,0.69336,0.66324,0.69184,0.26793,2.23165,1.4908,1.25706,0.005248,0.005248,0.005248
50,4864.08,2.12895,1.46975,1.19859,0.75255,0.67967,0.73581,0.29941,2.10757,1.2836,1.21173,0.005149,0.005149,0.005149
51,4962.95,2.12434,1.40687,1.21921,0.7216,0.60164,0.66899,0.24021,2.206,1.48746,1.258,0.00505,0.00505,0.00505
52,5062.06,2.09819,1.42959,1.22283,0.7181,0.70226,0.70393,0.24209,2.32604,1.50391,1.28236,0.004951,0.004951,0.004951
53,5145.44,2.10874,1.37898,1.20819,0.70414,0.67931,0.68705,0.22869,2.4395,1.53079,1.32802,0.004852,0.004852,0.004852
54,5240.01,2.08469,1.36425,1.20497,0.75152,0.70799,0.74272,0.28197,2.1539,1.26896,1.23659,0.004753,0.004753,0.004753
55,5318.62,2.07892,1.33617,1.21966,0.73723,0.71458,0.75556,0.29893,2.087,1.3295,1.2025,0.004654,0.004654,0.004654
56,5429.4,2.0904,1.37317,1.21274,0.77232,0.74127,0.79941,0.32208,2.04332,1.24978,1.18494,0.004555,0.004555,0.004555
57,5536.87,2.07983,1.35187,1.1947,0.79512,0.70127,0.79191,0.3225,2.07656,1.2641,1.2068,0.004456,0.004456,0.004456
58,5638.09,2.07064,1.35091,1.20761,0.76476,0.70021,0.77129,0.28051,2.29689,1.30269,1.27992,0.004357,0.004357,0.004357
59,5730.55,2.12947,1.37477,1.19343,0.77235,0.64066,0.72853,0.2723,2.20176,1.31523,1.25808,0.004258,0.004258,0.004258
